Designer;Serie;Type;Codename;Year Released;Function;Width of Machine Word;Supported Instruction Set(s);Type of processor core(s);Number of processor core(s);Memory Interface(s);Max. Clock Frequency of Memory IF;Data Bus Width;Address Bus Width;Number of data bus channels;Non-volatile Memory Data Bus Width;Non-volatile Memory Interface;DMA Channels;Recommended Minimum Clock Frequency;Recommended Maximum Clock Frequency;Max. Data Rate;L1 Instruction Cache per Core;L0 Instruction Cache per Core;Number of L1 Cache Ways;L1 Data Cache per Core;Number of L2 Cache Ways;Total L2 Cache;Total L3 Cache;Internal Systembus Clock;Pipeline Stages;Instruction Execution Performance;Feature Size;Semiconductor Technology;Number of Transistors Integrated;Pins;Fab;Embedded GPU;Number of GPU cores;GPU Clock;Dedicated Graphics Memory;Supported Cellular Data Links;Supported USB Specification;Bluetooth support;Wireless LAN support;NFC support;Supported Audio/Video Interface;Supported GPS protocol(s);Supported Galileo service(s);Supported GLONASS protocol(s);Supported BeiDou system (BDS);Special Features;;
Apple;Bionic;A16 Bionic Lite APL1010 / APL1W10;;2025;Multi-core Application Processor;64 bit;ARMv8.6-A (A32, A64);2x Apple Everest + 3x Apple Sawtooth cores;5;LPDDR4x SDRAM , LPDDR5 SDRAM;3200 MHz;16 bit;;4 ch;;moviNAND , NAND Flash Interface , SATA , SATA II , UFS 3.1 , UFS 3.1 2-lane;;;3460 MHz max.;51.2 Gbyte/s;192 Kbyte I-Cache;;;128 Kbyte D-Cache;;19456 Kbyte L2;;;;;4 nm;FinFET;;;TSMC;Apple G15P GPU;4-core GPU;1338 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1 , USB 3.1 Gen 2 / USB 3.2 Gen 2x1;No;No;;HDMI (Unspecified) , DisplayPort (Unspecified) , HDMI 1.3 , HDMI 1.3a , HDMI 1.4 , HDMI 1.4a , HDMI 2.0 (UHD);GPS (NMEA 0183);Yes;Yes;B1I BeiDou receiver;2x high-performance Apple Everest 64-bit ARMv8-compatible (AArch32-AArch64) Harvard Superscalar processor cores (up to 3.46 GHz, 192 KB L1 data cache per core, 128 KB L1 instruction cache per core, 8 MiB L2 cache per core) + 3x high-efficiency Apple Sawtooth 64-bit ARMv8-compatible (AArch32-AArch64) Harvard Superscalar processor cores (up to 2.02 GHz, 128 KB L1 data cache per core, 64 KB L1 instruction cache per core, 1 MiB L2 cache per core), HMP, ARM VFPv4, NAND flash, moviNAND interface, 16-core NPU, 8K 60 fps HDR video encode, 8K 60 fps HDR video decode, OpenCL, OpenGL 3.1, Vulkan, DirectX 12.1;;
ApI 2.0 (UHD);GPS (NMEA 0183);Yes;Yes;B1c , B1I , B2a BeiDou receiver;2x Harvard Superscalar Apple Tupai Performance processor cores (up to 4.04 GHz, 192 KB L1 data cache per core, 128 KB L1 instruction cache per core, 4 MiB L2 cache per core) + 4x Harvard Superscalar Apple Tupai Efficiency processor cores (up to 2424 MHz, 128 KB L1 data cache per core, 64 KB L1 instruction cache per core, 1 MiB L2 cache per core), HMP, 24 MiB system cache, 16-core NPU, 4K 60 fps HDR video encode, 4K 60 fps HDR video decode, OpenCL, OpenGL 3.1, Vulkan, DirectX 12.1;;
Apple;;A18 Pro APL1007 / APL1V07;T8140;2024;Multi-core Application Processor;64 bit;ARMv9.2-A;2x Apple Tahiti P + 4x Apple Tahiti E cores;6;LPDDR5 SDRAM , LPDDR5X SDRAM;3750 MHz;16 bit;;4 ch;;moviNAND , NAND Flash Interface , SATA , SATA II , UFS 3.1 , UFS 3.1 2-lane , UFS 4.0;;;4044 MHz max.;60 Gbyte/s;192 Kbyte I-Cache;;;128 Kbyte D-Cache;;20480 Kbyte L2;24576 Kbyte L3;;;;3 nm;FinFET;18000000000;;TSMC;Apple G17P GPU;6-core GPU;1470 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1 , USB 3.1 Gen 2 / USB 3.2 Gen 2x1 , USB 3.2 Gen 2x2;No;ple;;M3 Lite APL1201 T8122;Ibiza;2025;Multi-core Application Processor;64 bit;ARMv8.6-A (A32, A64);4x Apple Everest + 4x Apple Sawtooth cores;8;LPDDR5 SDRAM;3200 MHz;64 bit;32 bit;2 ch;;eMMC 5.1 , moviNAND , NAND Flash Interface , SATA , SATA II , SATA III , UFS 3.1 , UFS 3.1 2-lane;;;4050 MHz max.;102.4 Gbyte/s;192 Kbyte I-Cache;;;128 Kbyte D-Cache;;20480 Kbyte L2;8192 Kbyte L3;;;;3 nm;FinFET;;;TSMC;Apple G15G GPU;9-core GPU;1338 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1 , USB 3.1 Gen 2 / USB 3.2 Gen 2x1 , USB 3.2 Gen 1x2 , USB 3.2 Gen 2x2 , USB4 Gen 2x2;No;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11k , IEEE 802.11l , IEEE 802.11n , IEEE 802.11r , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);;HDMI (Unspecified) , DisplayPort (Unspecified) , HDMI 1.2 , HDMI 1.2a , HDMI 1.3 , HDMI 1.3a , HDMI 1.3b , HDMI 1.4 , HDMI 1.4a , HDMI 1.4b , HDMI 2.0 (UHD);GPS (NMEA 0183);Yes;Yes;B1I BeiDou receiver;4x high-performance 64-bit ARMv8-compatible (AArch32-AArch64) Harvard Superscalar processor cores (up to 4050 MHz, 192 KiB of L1 instruction cache per core, 128 KiB of L1 data cache per core, 16 MiB shared L2 cache) + 4x high-efficiency 64-bit ARMv8-compatible (AArch32-AArch64) Harvard Superscalar processor cores (up to 2748MHz, 128 KiB L1 instruction cache per core, 64 KiB L1 data cache per core, 4 MiB shared L2 cache), 8 MiB system cache, HMP, ARM VFPv4, 6016 x 3384 60 Hz display support, 16-core NPU, 8K 60 fps HDR video encode, 8K 60 fps HDR video decode, OpenCL, OpenGL, Vulkan, DirectX 12.1;;
Samsung;Exynos;Exynos 1580 5G S5E8855;;2024;Multi-core Application Processor with Modem;64 bit;ARMv9.2-A;4x ARM Cortex-A720 + 4x ARM Cortex-A520 MPcore;8;LPDDR5 SDRAM;3200 MHz;16 bit;;4 ch;;UFS 3.1;;;2910 MHz max.;51.2 Gbyte/s;;;;;;;;;;;4 nm;FinFET;;;Samsung;Samsung Xclipse 540 GPU;;1300 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 12 , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , EDGE Multi-slot Class 32 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 50 Mbps / 25 Mbps (Cat. 2) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 75 Mbps (Cat. 5) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps , NR 4.6 Gbps data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.4;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;DisplayPort (Unspecified) , HDMI 1.4;Yes;E1 , E5a;L1OF , L2OF;B1I , B2a BeiDou receiver;single ARM Cortex-A720 (up to 2.91 GHz) + triple ARM Cortex-A720 (up to 2.6 GHz) + quad ARM Cortex-A520 (up to 1.95 GHz) Harvard Superscalar processor cores, dual-cluster HMP, ARM big.LITTLE, 144 Hz 2960x1440 display support, 200 MP single / 32+ 32 dual camera support, 4K 60 fps video encode, 4K 60 fps video decode, embedded Samsung Shannon 5328 cellular Modem, GSM / GPRS / EDGE / TD-SCDMA / UMTS / HSPA+ / LTE Cat. 18 / 5G NR sub6 / mmWave 5.1 Gbps uplink / 1.28 Gbps downlink, 6K MAC NPU, DirectX 12.1, OpenCL 2.0, OpenGL ES 3.2, OpenVG 1.1, Vulkan 1.3;;
Apple;;S10;T8310;2024;System-On-a-Chip;64 bit;ARMv8.6-A (A32, A64);2x Apple Sawtooth cores;2;LPDDR4x SDRAM , LPDDR5 SDRAM;;;;;;eMMC 5.1 , UFS 3.0 , UFS 3.1;;;1800 MHz max.;;128 Kbyte I-Cache;;;64 Kbyte D-Cache;;2048 Kbyte L2;;;;;4 nm;FinFET;;;TSMC;N/A;;;;No;USB 2.0;Bluetooth 5.3;IEEE 802.11b , IEEE 802.11g , IEEE 802.11n;;No;Yes;E1;L1OF;;2x Apple Sawtooth Harvard Superscalar processor cores, quad-core NPU;;
Apple;;A18 APL1008 / APL1V08;T8142;2024;Multi-core Application Processor;64 bit;ARMv9.2-A;2x Apple Tupai P + 4x Apple Tupai E cores;6;LPDDR5 SDRAM , LPDDR5X SDRAM;3750 MHz;16 bit;;4 ch;;moviNAND , NAND Flash Interface , SATA , SATA II , UFS 3.1 , UFS 3.1 2-lane , UFS 4.0;;;4044 MHz max.;60 Gbyte/s;192 Kbyte I-Cache;;;128 Kbyte D-Cache;;12288 Kbyte L2;12288 Kbyte L3;;;;3 nm;FinFET;15200000000;;TSMC;Apple G17P GPU;5-core GPU;1470 MHz GPU;;No;USB 2.0;No;No;;HDMI (Unspecified) , DisplayPort (Unspecified) , HDMI 1.3 , HDMI 1.3a , HDMI 1.4 , HDMI 1.4a , HDMNo;;HDMI (Unspecified) , DisplayPort (Unspecified) , HDMI 1.3 , HDMI 1.3a , HDMI 1.4 , HDMI 1.4a , HDMI 2.0 (UHD);GPS (NMEA 0183);Yes;Yes;B1c , B1I , B2a BeiDou receiver;2x Harvard Superscalar Apple Tahiti Performance processor cores (up to 4.04 GHz, 192 KB L1 data cache per core, 128 KB L1 instruction cache per core, 8 MiB L2 cache per core) + 4x Harvard Superscalar Apple Tahiti Efficiency processor cores (up to 2424 MHz, 128 KB L1 data cache per core, 64 KB L1 instruction cache per core, 1 MiB L2 cache per core), HMP, 24 MiB system cache, 16-core NPU, 8K 60 fps HDR video encode, 8K 60 fps HDR video decode, OpenCL, OpenGL 3.1, Vulkan, DirectX 12.1, USB 3.2 Gen 2;;
Apple;;M4 APL1206;T8132;2024;Multi-core Application Processor;64 bit;ARMv9.2-A;4x Apple P ARMv9 + 6x Apple E ARMv9 cores;10;LPDDR5 SDRAM , LPDDR5X SDRAM;3750 MHz;64 bit;;2 ch;;eMMC 5.1 , moviNAND , NAND Flash Interface , SATA , SATA II , SATA III , UFS 3.1 , UFS 3.1 2-lane , UFS 4.0;;;4400 MHz max.;120 Gbyte/s;192 Kbyte I-Cache;;;128 Kbyte D-Cache;;20480 Kbyte L2;8192 Kbyte L3;;;;3 nm;FinFET;28000000000;;TSMC;Apple M4 GPU;10-core GPU;1470 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1 , USB 3.1 Gen 2 / USB 3.2 Gen 2x1 , USB 3.2 Gen 1x2 , USB 3.2 Gen 2x2 , USB4 Gen 2x2 , USB4 Gen 3x2;No;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11k , IEEE 802.11l , IEEE 802.11n , IEEE 802.11r , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6) , IEEE 802.11be (Wi-Fi 7);;HDMI (Unspecified) , DisplayPort (Unspecified) , HDMI 1.2 , HDMI 1.2a , HDMI 1.3 , HDMI 1.3a , HDMI 1.3b , HDMI 1.4 , HDMI 1.4a , HDMI 1.4b , HDMI 2.0 (UHD);GPS (NMEA 0183);Yes;Yes;B1I BeiDou receiver;4x high-performance 64-bit ARMv9-compatible Harvard Superscalar processor cores (up to 4.4 GHz, 192 KiB of L1 instruction cache per core, 128 KiB of L1 data cache per core, 16 MiB shared L2 cache) + 4x high-efficiency 64-bit ARMv9-compatible Harvard Superscalar processor cores (up to 2.85 GHz, 128 KiB L1 instruction cache per core, 64 KiB L1 data cache per core, 4 MiB shared L2 cache), 8 MiB system cache, HMP, ARM VFPv4, 6016 x 3384 60 Hz display support, 16-core NPU, 8K 60 fps HDR video encode, 8K 60 fps HDR video decode, OpenCL, OpenGL, Vulkan, DirectX 12.1;;
Apple;;M4 Lite APL1206;T8132;2024;Multi-core Application Processor;64 bit;ARMv9.2-A;3x Apple P ARMv9 + 6x Apple E ARMv9 cores;9;LPDDR5 SDRAM , LPDDR5X SDRAM;3750 MHz;64 bit;;2 ch;;eMMC 5.1 , moviNAND , NAND Flash Interface , SATA , SATA II , SATA III , UFS 3.1 , UFS 3.1 2-lane , UFS 4.0;;;4400 MHz max.;120 Gbyte/s;192 Kbyte I-Cache;;;128 Kbyte D-Cache;;16384 Kbyte L2;8192 Kbyte L3;;;;3 nm;FinFET;;;TSMC;Apple M4 GPU;10-core GPU;1470 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1 , USB 3.1 Gen 2 / USB 3.2 Gen 2x1 , USB 3.2 Gen 1x2 , USB 3.2 Gen 2x2 , USB4 Gen 2x2 , USB4 Gen 3x2;No;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11k , IEEE 802.11l , IEEE 802.11n , IEEE 802.11r , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6) , IEEE 802.11be (Wi-Fi 7);;HDMI (Unspecified) , DisplayPort (Unspecified) , HDMI 1.2 , HDMI 1.2a , HDMI 1.3 , HDMI 1.3a , HDMI 1.3b , HDMI 1.4 , HDMI 1.4a , HDMI 1.4b , HDMI 2.0 (UHD);GPS (NMEA 0183);Yes;Yes;B1I BeiDou receiver;3x high-performance 64-bit ARMv9-compatible Harvard Superscalar processor cores (up to 4.4 GHz, 192 KiB of L1 instruction cache per core, 128 KiB of L1 data cache per core, 12 MiB shared L2 cache) + 4x high-efficiency 64-bit ARMv9-compatible Harvard Superscalar processor cores (up to 2.85 GHz, 128 KiB L1 instruction cache per core, 64 KiB L1 data cache per core, 4 MiB shared L2 cache), 8 MiB system cache, HMP, ARM VFPv4, 6016 x 3384 60 Hz display support, 16-core NPU, 8K 60 fps HDR video encode, 8K 60 fps HDR video decode, OpenCL, OpenGL, Vulkan, DirectX 12.1;;
HiSilicon;KIRIN;KIRIN8000 4G;;2024;Multi-core Application Processor with Modem;64 bit;ARMv8.2-A;4x ARM Cortex-A77 + 4x ARM Cortex-A55 MPcore;8;LPDDR4x SDRAM , LPDDR5 SDRAM;3200 MHz;16 bit;;4 ch;;UFS 3.1;;;2400 MHz max.;51.2 Gbyte/s;;;;;;;4096 Kbyte L3;;;;7 nm;FinFET;;;SMIC;ARM Mali-G610 GPU;4-core GPU;864 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 12 , GPRS Multi-slot Class 33 , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , TD-SCDMA , TD-HSDPA , LTE (Cat. unspecified) , LTE 50 Mbps / 25 Mbps (Cat. 2) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 75 Mbps (Cat. 5) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , LTE 1.4 Gbps / 300 Mbps (LTE Cat. 21) , LTE 1.6 Gbps (LTE Cat. 19) , LTE 2 Gbps / 300 Mbps (LTE Cat. 20) , LTE 2.4 Gbps / 400 Mbps (Cat. 22) data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);;No;Yes;Yes;Yes;B1I , B2a BeiDou receiver;single ARM Cortex-A77 (up to 2.4 GHz) + triple ARM Cortex-A77 (up to 2.19 GHz) + quad ARM Cortex-A55 (up to 1.84 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, dual SIM 4G support (DSDA, DSDS), 4K video encode, 4K video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12;;
HiSilicon;KIRIN;Kirin T91 Hi36A0;;2024;Multi-core Application Processor;64 bit;ARMv8-A (A32, A64);4x HiSilicon TaiShan V121 + 4x ARM Cortex-A510 MPcore;8;LPDDR5 SDRAM , LPDDR5X SDRAM;4266 MHz;16 bit;;4 ch;;UFS 3.1 , UFS 4.0;;;2190 MHz max.;68.26 Gbyte/s;;;;;;;;;;;7 nm;FinFET;;;SMIC;HiSilicon Maleoon 910 GPU;4-core GPU;750 MHz GPU;;No;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 5.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n , IEEE 802.11ac , IEEE 802.11ax (Wi-Fi 6);NFC A , NFC B;No;Yes;Yes;Yes;B1c , B1I , B2a , B2b , BDS Voice Call , BDS SMS BeiDou receiver;single TaiShan V121 (up to 2.19 GHz, 2 threads) + triple TaiShan V121 (up to 2.18 GHz, 6 threads) + quad ARM Cortex-A510 (up to 1.55 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, Da Vinci NPU, 4K 60 fps video encode, 4K 60 fps video decode, HDR10 support, OpenGL ES 3.2, OpenCL 2.0, Vulkan 1.1, DirectX 12. For tablet devices;;
